Name,Intervals,Culture,Continent,Tuning,Reference,Theory,RefID,Country
Mela Gavambhodi,1231113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2158",Y,1,None
Mela Bhavapriya,1231122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2159",Y,1,None
Mela Shubhapantuvarali,1231131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2160",Y,1,None
Mela Shadvidamargini,1231212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2161",Y,1,None
Mela Suvarnangi,1231221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2162",Y,1,None
Mela Divyamani,1231311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2163",Y,1,None
Mela Dhavalambari,1321113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2164",Y,1,None
Mela Namanarayani,1321122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2165",Y,1,None
Mela Kamavardani,1321131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2166",Y,1,None
Mela Ramapriya,1321212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2167",Y,1,None
Mela Gamanashrama,1321221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2168",Y,1,None
Mela Vishwambari,1321311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2169",Y,1,None
Mela Shamalangi,2131113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2170",Y,1,None
Mela Shanmukhapriya,2131122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2171",Y,1,None
Mela Simhendramadhyamam,2131131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2172",Y,1,None
Mela Hemavati,2131212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2173",Y,1,None
Mela Dharmavati,2131221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2174",Y,1,None
Mela Neetimati,2131311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2175",Y,1,None
Mela Kantamani,2221113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2176",Y,1,None
Mela Rishabhapriya,2221122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2177",Y,1,None
Mela Latangi,2221131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2178",Y,1,None
Mela Vachaspati,2221212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2179",Y,1,None
Mela Mechakalyani,2221221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2180",Y,1,None
Mela Chitrambari,2221311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2181",Y,1,None
Mela Sucharitra,3121113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2182",Y,1,None
Mela Jyoti Swarupini,3121122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2183",Y,1,None
Mela Dhatuvardani,3121131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2184",Y,1,None
Mela Nasikabhushani,3121212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2185",Y,1,None
Mela Kosalam,3121221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2186",Y,1,None
Mela Rasikapriya,3121311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2187",Y,1,None
Adonai Malakh,11122212,Jewish,Middle East,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2188",Y,1,None
Magen Abot 1,12122211,Jewish,Middle East,12-tet;Just,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2008",Y,2,None
Magen Abot 2,12122121,Jewish,Middle East,12-tet;Just,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2009",Y,2,None
Ahava Rabba,12111222,Jewish,Middle East,12-tet;Just,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2010",Y,2,None
Nine-note blues,211111212,Jazz,Western,12-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2011",Y,2,None
Symmetrical Decatonic,1121111211,Western Classical,Western,12-tet,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2012",Y,2,None
Mawam Yakah Bayati A,4334433,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2013",Y,2,None
Mawam Yakah Bayati D,4334234,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2014",Y,2,None
Maqam Yakah Nahawand A,4334433,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2015",Y,2,None
Maqam Yakah Nahawand D,4334424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2016",Y,2,None
Maqam Sultani Yakah,4244262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2017",Y,2,None
Maqam Farahfaza A,4244244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2018",Y,2,None
Maqam Farahfaza D,4244262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2019",Y,2,None
Maqam Shat Arban 1 A,2624262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2020",Y,2,None
Maqam Shat Arban 1 D,2624244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2021",Y,2,None
Maqam Shat Arban 2 A,3524262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2022",Y,2,None
Maqam Shat Arban 2 D,3524244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2023",Y,2,None
Maqam Husayni Ushayran A,3343344,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2024",Y,2,None
Maqam Husayni Ushayran D,3342624,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2025",Y,2,None
Maqam Bayati Ushayran A,3343344,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2026",Y,2,None
Maqam Bayati Ushayran D,3344244,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2027",Y,2,None
Maqam Shawq Tarab A,2443326,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2028",Y,2,None
Maqam Shawq Tarab D,2442444,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2029",Y,2,None
Maqam Nahaft A,3344424,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2030",Y,2,None
Maqam Nahaft D,3343344,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2031",Y,2,None
Maqam Suzdal,2624262,Arabic,Middle East,Arabic,"Rechberger, Herman. Scales and Modes around the World. Fennica-Gehrman, 2032",Y,2,None
